|6.6.6
project/EH70/EH70_1.tab                                                                             
           1
P(bar)  
   6.9506480690741720E-310
   6.9506480690741720E-310
  1027803201
          15
P(bar)         T(K)           rho,kg/m3      O,vo%          Wad,vo%        Ring,vo%       Pv,vo%         Wus,vo%        Cpx,vo%        Opx,vo%        Aki,vo%        Gt_maj,vo%     v0,km/s        vp,km/s        vs,km/s       
  20520.0        891.550        3411.34                 NaN            NaN            NaN            NaN            NaN   25.3574        58.9172                 NaN   8.42746        5.69327        7.63167        4.40134     
  20640.0        894.600        3411.38                 NaN            NaN            NaN            NaN            NaN   25.4435        58.8483                 NaN   8.41166        5.69363        7.63136        4.40059     
  20760.0        897.650        3411.50                 NaN            NaN            NaN            NaN            NaN   25.4442        58.8485                 NaN   8.41202        5.69398        7.63112        4.39993     
  20880.0        900.700        3437.47                 NaN            NaN            NaN            NaN            NaN   25.7272        59.1987                 NaN   8.48260        5.82914        7.76272        4.43968     
  21000.0        903.750        3437.56                 NaN            NaN            NaN            NaN            NaN   25.7276        59.1983                 NaN   8.48287        5.82935        7.76239        4.43904     
  21120.0        906.800        3411.50                 NaN            NaN            NaN            NaN            NaN   25.5279        58.8712                 NaN   8.31017        5.69398        7.62902        4.39721     
  21240.0        909.850        3411.62                 NaN            NaN            NaN            NaN            NaN   25.5285        58.8714                 NaN   8.31053        5.69433        7.62878        4.39654     
  21360.0        912.900        3411.74                 NaN            NaN            NaN            NaN            NaN   25.5292        58.8716                 NaN   8.31088        5.69469        7.62853        4.39588     
  21480.0        915.950        3437.72                 NaN            NaN            NaN            NaN            NaN   26.0203        58.9373                 NaN   8.45265        5.83048        7.76124        4.43642     
  21600.0        919.000        3437.81                 NaN            NaN            NaN            NaN            NaN   26.0207        58.9369                 NaN   8.45292        5.83069        7.76091        4.43578     
  21720.0        922.050        3437.81                 NaN            NaN            NaN            NaN            NaN   26.0079        58.9690                 NaN   8.43402        5.83091        7.76063        4.43519     
  21840.0        925.100        3437.90                 NaN            NaN            NaN            NaN            NaN   26.0083        58.9686                 NaN   8.43429        5.83112        7.76030        4.43455     
  21960.0        928.150        3437.89                 NaN            NaN            NaN            NaN            NaN   26.0876        58.9044                 NaN   8.41965        5.83136        7.75994        4.43383     
  22080.0        931.200        3437.98                 NaN            NaN            NaN            NaN            NaN   26.1940        58.7869                 NaN   8.43102        5.83193        7.75994        4.43328     
  22200.0        934.250        3438.06                 NaN            NaN            NaN            NaN            NaN   26.1944        58.7865                 NaN   8.43129        5.83214        7.75961        4.43264     
  22320.0        937.300        3438.14                 NaN            NaN            NaN            NaN            NaN   26.1948        58.7861                 NaN   8.43157        5.83235        7.75928        4.43200     
  22440.0        940.350        3438.23                 NaN            NaN            NaN            NaN            NaN   26.1952        58.7857                 NaN   8.43184        5.83256        7.75895        4.43136     
  22560.0        943.400        3438.31                 NaN            NaN            NaN            NaN            NaN   26.1956        58.7853                 NaN   8.43211        5.83276        7.75862        4.43072     
  22680.0        946.450        3438.40                 NaN            NaN            NaN            NaN            NaN   26.1960        58.7849                 NaN   8.43238        5.83297        7.75829        4.43008     
  22800.0        949.500        3438.10                 NaN            NaN            NaN            NaN            NaN   26.5033        58.5446                 NaN   8.36633        5.83326        7.75778        4.42913     
  22920.0        952.550        3438.19                 NaN            NaN            NaN            NaN            NaN   26.5038        58.5442                 NaN   8.36660        5.83347        7.75745        4.42849     
  23040.0        955.600        3438.27                 NaN            NaN            NaN            NaN            NaN   26.5042        58.5438                 NaN   8.36686        5.83368        7.75712        4.42785     
  23160.0        958.650        3438.72                 NaN            NaN            NaN            NaN            NaN   26.4187        58.5411                 NaN   8.45463        5.83452        7.75764        4.42770     
  23280.0        961.700        3438.80                 NaN            NaN            NaN            NaN            NaN   26.4191        58.5406                 NaN   8.45490        5.83473        7.75731        4.42706     
  23400.0        964.750        3437.98                 NaN            NaN            NaN            NaN            NaN   26.4825        58.6478                 NaN   8.28645        5.83364        7.75490        4.42497     
  23520.0        967.800        3438.07                 NaN            NaN            NaN            NaN            NaN   26.4829        58.6474                 NaN   8.28672        5.83385        7.75457        4.42433     
  23640.0        970.850        3438.06                 NaN            NaN            NaN            NaN            NaN   26.6205        58.5278                 NaN   8.26916        5.83405        7.75415        4.42358     
  23760.0        973.900        3438.04                 NaN            NaN            NaN            NaN            NaN   26.6320        58.5619                 NaN   8.22394        5.83379        7.75334        4.42277     
  23880.0        976.950        3438.29                 NaN            NaN            NaN            NaN            NaN   26.7059        58.4250                 NaN   8.28685        5.83485        7.75391        4.42247     
  24000.0        980.000        3438.36                 NaN            NaN            NaN            NaN            NaN   26.7544        58.3786                 NaN   8.28510        5.83512        7.75364        4.42184     
  24120.0        983.050        3438.42                 NaN            NaN            NaN            NaN            NaN   26.8472        58.2884                 NaN   8.28287        5.83541        7.75333        4.42115     
  24240.0        986.100        3438.49                 NaN            NaN            NaN            NaN            NaN   26.9712        58.1608                 NaN   8.28674        5.83581        7.75315        4.42052     
  24360.0        989.150        3438.05                 NaN            NaN            NaN            NaN            NaN   26.9863        58.3622                 NaN   8.07148        5.83358        7.75029        4.41897     
  24480.0        992.200        3438.57                 NaN            NaN            NaN            NaN            NaN   27.0901        58.0606                 NaN   8.26878        5.83616        7.75232        4.41908     
  24600.0        995.250        3438.71                 NaN            NaN            NaN            NaN            NaN   27.0100        58.1348                 NaN   8.27482        5.83641        7.75209        4.41853     
  24720.0        998.300        3438.78                 NaN            NaN            NaN            NaN            NaN   27.0603        58.0866                 NaN   8.27303        5.83668        7.75179        4.41787     
  24840.0        1001.35        3438.39                 NaN            NaN            NaN            NaN            NaN   27.1770        58.1582                 NaN   8.08591        5.83487        7.74933        4.41643     
  24960.0        1004.40        3438.44                 NaN            NaN            NaN            NaN            NaN   27.2216        58.1158                 NaN   8.08399        5.83510        7.74891        4.41565     
  25080.0        1007.45        3438.51                 NaN            NaN            NaN            NaN            NaN   27.3004        58.0328                 NaN   8.08849        5.83546        7.74870        4.41501     
  25200.0        1010.50        3439.01                 NaN            NaN            NaN            NaN            NaN   27.1838        58.0032                 NaN   8.23417        5.83731        7.75019        4.41514     
  25320.0        1013.55        3439.10                 NaN            NaN            NaN            NaN            NaN   27.2229        57.9556                 NaN   8.24288        5.83767        7.74997        4.41449     
  25440.0        1016.60        3439.20                 NaN            NaN            NaN            NaN            NaN   27.3633        57.8087                 NaN   8.24962        5.83816        7.74998        4.41402     
  25560.0        1019.65        3439.27                 NaN            NaN            NaN            NaN            NaN   27.4132        57.7613                 NaN   8.24745        5.83843        7.74969        4.41337     
  25680.0        1022.70        3439.34                 NaN            NaN            NaN            NaN            NaN   27.4631        57.7139                 NaN   8.24527        5.83869        7.74939        4.41272     
  25800.0        1025.75        3438.76                 NaN            NaN            NaN            NaN            NaN   27.6126        57.8133                 NaN   7.99797        5.83617        7.74606        4.41083     
  25920.0        1028.80        3438.84                 NaN            NaN            NaN            NaN            NaN   27.6684        57.7613                 NaN   7.99435        5.83643        7.74578        4.41020     
  26040.0        1031.85        3439.35                 NaN            NaN            NaN            NaN            NaN   27.4849        57.7798                 NaN   8.15881        5.83834        7.74726        4.41026     
  26160.0        1034.90        3439.42                 NaN            NaN            NaN            NaN            NaN   27.5354        57.7337                 NaN   8.15471        5.83858        7.74694        4.40960     
  26280.0        1037.95        3439.49                 NaN            NaN            NaN            NaN            NaN   27.5859        57.6876                 NaN   8.15062        5.83882        7.74663        4.40895     
  26400.0        1041.00        3439.59                 NaN            NaN            NaN            NaN            NaN   27.6704        57.5947                 NaN   8.15927        5.83926        7.74656        4.40841     
  26520.0        1044.05        3439.65                 NaN            NaN            NaN            NaN            NaN   27.7221        57.5470                 NaN   8.15561        5.83951        7.74625        4.40776     
  26640.0        1047.10        3439.69                 NaN            NaN            NaN            NaN            NaN   27.6917        57.5830                 NaN   8.15030        5.83956        7.74564        4.40691     
