|6.6.6
project/DW/DW_1.tab                                                                                 
           1
P(bar)  
   6.9127692053006575E-310
   6.9127692053006575E-310
 -1144756159
          15
P(bar)         T(K)           rho,kg/m3      O,vo%          Wad,vo%        Ring,vo%       Pv,vo%         Wus,vo%        Cpx,vo%        Opx,vo%        Aki,vo%        Gt_maj,vo%     v0,km/s        vp,km/s        vs,km/s       
  19680.0        870.200        3602.04        23.1889                 NaN            NaN            NaN            NaN   13.0366        45.3066                 NaN   18.4678        5.87201        7.74025        4.36728     
  19800.0        873.250        3602.09        23.1892                 NaN            NaN            NaN            NaN   13.0367        45.3059                 NaN   18.4682        5.87210        7.73986        4.36668     
  19920.0        876.300        3602.15        23.1895                 NaN            NaN            NaN            NaN   13.0367        45.3051                 NaN   18.4686        5.87220        7.73948        4.36607     
  20040.0        879.350        3602.20        23.1898                 NaN            NaN            NaN            NaN   13.0368        45.3043                 NaN   18.4691        5.87229        7.73909        4.36547     
  20160.0        882.400        3602.25        23.1901                 NaN            NaN            NaN            NaN   13.0368        45.3036                 NaN   18.4695        5.87238        7.73870        4.36486     
  20280.0        885.450        3602.31        23.1904                 NaN            NaN            NaN            NaN   13.0369        45.3028                 NaN   18.4699        5.87247        7.73832        4.36425     
  20400.0        888.500        3602.36        23.1907                 NaN            NaN            NaN            NaN   13.0369        45.3020                 NaN   18.4703        5.87256        7.73793        4.36364     
  20520.0        891.550        3602.41        23.1910                 NaN            NaN            NaN            NaN   13.0370        45.3013                 NaN   18.4707        5.87265        7.73754        4.36304     
  20640.0        894.600        3602.47        23.1913                 NaN            NaN            NaN            NaN   13.0370        45.3005                 NaN   18.4711        5.87274        7.73715        4.36243     
  20760.0        897.650        3602.52        23.1916                 NaN            NaN            NaN            NaN   13.0371        45.2997                 NaN   18.4715        5.87284        7.73676        4.36182     
  20880.0        900.700        3602.57        23.1919                 NaN            NaN            NaN            NaN   13.0371        45.2989                 NaN   18.4720        5.87293        7.73637        4.36121     
  21000.0        903.750        3602.63        23.1922                 NaN            NaN            NaN            NaN   13.0372        45.2982                 NaN   18.4724        5.87302        7.73598        4.36060     
  21120.0        906.800        3601.77        23.1756                 NaN            NaN            NaN            NaN   12.9044        45.5240                 NaN   18.3961        5.87113        7.73152        4.35657     
  21240.0        909.850        3601.83        23.1759                 NaN            NaN            NaN            NaN   12.9044        45.5232                 NaN   18.3965        5.87122        7.73114        4.35597     
  21360.0        912.900        3601.88        23.1762                 NaN            NaN            NaN            NaN   12.9045        45.5224                 NaN   18.3969        5.87131        7.73075        4.35536     
  21480.0        915.950        3601.93        23.1765                 NaN            NaN            NaN            NaN   12.9046        45.5216                 NaN   18.3973        5.87140        7.73037        4.35476     
  21600.0        919.000        3601.99        23.1768                 NaN            NaN            NaN            NaN   12.9046        45.5209                 NaN   18.3977        5.87149        7.72998        4.35415     
  21720.0        922.050        3602.04        23.1771                 NaN            NaN            NaN            NaN   12.9047        45.5201                 NaN   18.3982        5.87158        7.72960        4.35355     
  21840.0        925.100        3602.09        23.1774                 NaN            NaN            NaN            NaN   12.9047        45.5193                 NaN   18.3986        5.87167        7.72921        4.35294     
  21960.0        928.150        3602.15        23.1777                 NaN            NaN            NaN            NaN   12.9048        45.5185                 NaN   18.3990        5.87176        7.72882        4.35234     
  22080.0        931.200        3602.20        23.1780                 NaN            NaN            NaN            NaN   12.9048        45.5178                 NaN   18.3994        5.87185        7.72844        4.35173     
  22200.0        934.250        3602.25        23.1783                 NaN            NaN            NaN            NaN   12.9049        45.5170                 NaN   18.3998        5.87194        7.72805        4.35112     
